Fecha,Even_mon,ID,Tipo_Mod,Especie,No_Mod,No_Ind_Mod,Alt_Ind,DAB1_Ind,DAB2_Ind,DAB_prom,Diam_1_Ind,Diam_2_Ind,Area_cop_ind,Observaciones,Sup_Ind,Est_Fit_Ind,Col,Vig_Baj,Her,Pat,Com_H-E,Dan_Mec,PNE,Observaciones
Sep-19,T1,1,Monoespecífico,Quercus humboldtii,1,1,130,12.8,,12.8,56,47,1316,,SI,1,,,SI,,,,,
Sep-19,T1,2,Monoespecífico,Quercus humboldtii,1,2,112,10.5,0.7,5.6,41,40,820,,SI,1,,,SI,,,,,
Sep-19,T1,3,Monoespecífico,Quercus humboldtii,1,3,50,7.5,,7.5,44,23,506,,SI,1,,,SI,,,,,
Sep-19,T1,4,Monoespecífico,Quercus humboldtii,1,4,124,12.1,,12.1,54,40,1080,,SI,1,,,SI,,,,,
Sep-19,T1,5,Monoespecífico,Quercus humboldtii,1,5,167,13.2,,13.2,51,48,1224,,SI,0,,,,,,,,
Sep-19,T1,6,Monoespecífico,Quercus humboldtii,1,6,111,8.1,,8.1,51,34,867,,SI,1,,,SI,,,,,
Sep-19,T1,7,Monoespecífico,Quercus humboldtii,1,7,135,13.1,,13.1,47,48,1128,,SI,1,,,SI,,,,,
Sep-19,T1,8,Monoespecífico,Quercus humboldtii,2,1,130,12.8,,12.8,50,40,1000,,SI,0,,,,,,,,
Sep-19,T1,9,Monoespecífico,Quercus humboldtii,2,2,116,12.9,,12.9,47,48,1128,,SI,1,,,SI,,,,,
Sep-19,T1,10,Monoespecífico,Quercus humboldtii,2,3,157,13.3,,13.3,51,49,1249.5,,SI,0,,,,,,,,
Jan-20,T2,1,Monoespecífico,Quercus humboldtii,1,1,156,16,,16,57,50,1425,,SI,1,SI,,,,,,,
Jan-20,T2,2,Monoespecífico,Quercus humboldtii,1,2,98,8,,8,36,35,630,,SI,1,,SI,SI,SI,,,,
Jan-20,T2,3,Monoespecífico,Quercus humboldtii,1,3,130,16,,16,36,35,630,,SI,1,SI,,,,,,,
Jan-20,T2,4,Monoespecífico,Quercus humboldtii,1,4,117,14,,14,42,30,630,,SI,1,SI,,,,,,,
Jan-20,T2,5,Monoespecífico,Quercus humboldtii,1,5,23,6,,6,18,25,225,,SI,1,SI,SI,,,,,,
Jan-20,T2,6,Monoespecífico,Quercus humboldtii,1,6,123,13,,13,37,49,906.5,,SI,0,,,,,,,,Cambiando de hojas
Jan-20,T2,7,Monoespecífico,Quercus humboldtii,1,7,190,17,,17,42,40,840,,SI,0,,,,,,,,
Jan-20,T2,8,Monoespecífico,Quercus humboldtii,2,1,170,17,,17,47,43,1010.5,,SI,1,SI,,,,,,,Afectación climática (hojas quemadas)
Jan-20,T2,9,Monoespecífico,Quercus humboldtii,2,2,151,18,,18,36,30,540,,SI,1,,,SI,,,,,
Jan-20,T2,10,Monoespecífico,Quercus humboldtii,2,3,180,16,,16,47,46,1081,,SI,1,,,SI,,,SI,,Afectación climática (manchas en las hojas)
Apr-20,T3,1,Monoespecífico,Quercus humboldtii,1,1,169,14.9,,14.9,72,65,2340,,SI,4,,,SI,,,,,
Apr-20,T3,2,Monoespecífico,Quercus humboldtii,1,2,115,8.4,,8.4,45,38,855,Un poco escaso de follaje,SI,2,,,SI,SI,,,,
Apr-20,T3,3,Monoespecífico,Quercus humboldtii,1,3,153,12.2,,12.2,49,44,1078,,SI,4,,,SI,,,,,
Apr-20,T3,4,Monoespecífico,Quercus humboldtii,1,4,130,12.1,,12.1,65,44,1430,,SI,1,SI,,SI,,,,,
Apr-20,T3,5,Monoespecífico,Quercus humboldtii,1,5,60,7.1,,7.1,34,25,425,"Hojas quemadas, sigue pequeño",SI,1,SI,,SI,,,,,
Apr-20,T3,6,Monoespecífico,Quercus humboldtii,1,6,130,12.1,,12.1,48,36,864,,SI,2,SI,,SI,,,,,
Apr-20,T3,7,Monoespecífico,Quercus humboldtii,1,7,190,15.9,,15.9,56,46,1288,,SI,1,SI,,,,,,,
Apr-20,T3,8,Monoespecífico,Quercus humboldtii,2,1,180,19.1,,19.1,79,64,2528,,SI,1,SI,,SI,,,,,
Apr-20,T3,9,Monoespecífico,Quercus humboldtii,2,2,160,15.9,,15.9,60,55,1650,,SI,1,SI,,SI,,,,,
Apr-20,T3,10,Monoespecífico,Quercus humboldtii,2,3,190,18.1,,18.1,76,75,2850,,SI,1,SI,,SI,,,,,
Jul-20,T4,1,Monoespecífico,Quercus humboldtii,1,1,191,16.2,,16.2,80,70,2800,,SI,2,,,SI,,,,,
Jul-20,T4,2,Monoespecífico,Quercus humboldtii,1,2,112,8.2,,8.2,57,47,1339.5,,SI,2,,,,,,,,
Jul-20,T4,3,Monoespecífico,Quercus humboldtii,1,3,153,15.9,,15.9,53,47,1245.5,,SI,1,,,SI,,,,,
Jul-20,T4,4,Monoespecífico,Quercus humboldtii,1,4,147,16.2,,16.2,57,57,1624.5,,SI,2,SI,,,,,,,
Jul-20,T4,5,Monoespecífico,Quercus humboldtii,1,5,52,7.3,,7.3,37,30,555,,SI,2,SI,,,,,,,
Jul-20,T4,6,Monoespecífico,Quercus humboldtii,1,6,160,15.2,,15.2,67,61,2043.5,,SI,1,,,SI,,,,,
Jul-20,T4,7,Monoespecífico,Quercus humboldtii,1,7,210,18.7,,18.7,77,71,2733.5,,SI,1,,,SI,,,,,
Jul-20,T4,8,Monoespecífico,Quercus humboldtii,2,1,192,29,,29,94,90,4230,,SI,2,,,SI,,,,,
Jul-20,T4,9,Monoespecífico,Quercus humboldtii,2,2,176,23,,23,84,81,3402,,SI,1,,,SI,,,,,
Jul-20,T4,10,Monoespecífico,Quercus humboldtii,2,3,220,19.7,,19.7,110,110,6050,Hongo base tallo,SI,2,,,SI,SI,,,,
Nov-20,T5,1,Monoespecífico,Quercus humboldtii,1,1,197,18,,18,100,80,4000,,SI,1,SI,,SI,,,,,Afectación climática (manchas en las hojas)
Nov-20,T5,2,Monoespecífico,Quercus humboldtii,1,2,130,7,,7,52,51,1326,,SI,2,SI,,SI,,,,,
Nov-20,T5,3,Monoespecífico,Quercus humboldtii,1,3,174,15,,15,83,71,2946.5,,SI,3,SI,,,,,,,Afectación climática (manchas en las hojas)
Nov-20,T5,4,Monoespecífico,Quercus humboldtii,1,4,186,16,,16,98,92,4508,,SI,1,SI,,,,,,,
Nov-20,T5,5,Monoespecífico,Quercus humboldtii,1,5,62,8,,8,42,25,525,,SI,1,SI,,,,,,,Afectación climática (hojas quemadas)
Nov-20,T5,6,Monoespecífico,Quercus humboldtii,1,6,167.5,14,,14,96,41,1968,,SI,1,,,SI,,,,,Afectación climática (manchas en las hojas)
Nov-20,T5,7,Monoespecífico,Quercus humboldtii,1,7,210,19,,19,102,76,3876,,SI,1,SI,,SI,,,,,Hojas senecesentes en caída
Nov-20,T5,8,Monoespecífico,Quercus humboldtii,2,1,192,26,,26,130,109,7085,,SI,1,SI,,,,,,,Afectación climática (hojas quemadas)
Nov-20,T5,9,Monoespecífico,Quercus humboldtii,2,2,221,24,,24,102,113,5763,,SI,1,SI,,,,,,,Afectación climática (hojas quemadas)
Nov-20,T5,10,Monoespecífico,Quercus humboldtii,2,3,232,20,,20,85,76,3230,,SI,1,,,SI,,,,,
